epoch,training loss,training accuracy,validation loss,validation accuracy
1,2.0722231582591406,0.29699248153912394,1.8192104643583298,0.425
2,1.8408369421958923,0.37265037627596603,1.932536213994026,0.39
3,1.5128962836767499,0.47791353417070287,1.5081210047006608,0.505
4,1.4129998621187712,0.5129229332271376,1.4516067677736282,0.565
5,1.18512162095622,0.5977443613504109,1.2609324568510056,0.595
6,1.0526032479185807,0.6581296999203531,1.4957843399047852,0.56
7,0.9952341929862374,0.676221805183511,1.2792871069908143,0.58
8,0.9124718496673986,0.7084116559279593,1.036839389204979,0.645
9,0.8657702693813726,0.6992481209729847,0.9711414122581482,0.66
10,0.8392530758129922,0.7293233087188319,0.9619276428222656,0.66
11,0.8043289898257506,0.7408364666135687,1.2650237345695496,0.665
12,0.7301435533322786,0.7744360911218744,0.813781767487526,0.725
13,0.6387255348657307,0.8125,0.9599518775939941,0.725
14,0.6503496883731139,0.7791353401384855,0.795241072177887,0.7
15,0.5845783541077062,0.8164943613504109,0.8924183022975921,0.71
16,0.6001099371596387,0.801221805183511,0.8094210404157639,0.735
17,0.5643102260012376,0.804981203455674,0.892613822221756,0.7
18,0.46395462084757655,0.8273026315789473,0.7965372890233994,0.69
19,0.5423927777691891,0.8350563927700645,0.6699891197681427,0.765
20,0.48621702939271927,0.8449248138226961,0.6315806573629379,0.805
21,0.5209757736638972,0.8374060157098269,0.8223199278116227,0.695
22,0.46921096506871673,0.860902256087253,0.8182480180263519,0.695
23,0.46471032617907776,0.8543233087188319,0.7375398278236389,0.75
24,0.4384604747358121,0.867481203455674,0.6973634386062622,0.78
25,0.33838745755584615,0.9015507525519321,0.6969816780090332,0.755
26,0.43018614314496517,0.8552631578947368,0.9974845063686371,0.68
27,0.4348630434588382,0.8526785718767267,0.886685596704483,0.725
28,0.40736060020954984,0.8700657894736842,0.6263239902257919,0.805
29,0.30938058444543887,0.9078947368421053,0.7945280265808106,0.74
30,0.35909573616165863,0.9041353401384855,0.6422765386104584,0.815
31,0.314433464486348,0.8827537611911171,0.8045331907272338,0.73
32,0.25982899689360667,0.9085996245083056,0.6061160433292389,0.79
33,0.3259060406371167,0.8888627824030424,0.7666183519363403,0.78
34,0.37057853372473465,0.8843984980332223,0.7076048064231872,0.805
35,0.2905087204355943,0.9020206771398845,0.7245447432994843,0.775
36,0.3379930779337883,0.8872180455609372,0.6095107203722,0.785
37,0.2591837356357198,0.9144736842105263,0.7164602625370026,0.78
38,0.16912965084377088,0.9457236842105263,0.6110751378536224,0.81
39,0.26254566562803167,0.9156484980332223,0.6663429033756256,0.825
40,0.19827580834297756,0.9292763157894737,0.480737042427063,0.865
41,0.1677915750953712,0.9572368421052632,0.5679185926914215,0.81
42,0.21044536640769557,0.9276315789473685,0.7299450826644898,0.77
43,0.27144356836613853,0.9074248138226961,0.6907510089874268,0.79
44,0.22036923007353357,0.9292763157894737,0.6303764194250107,0.82
45,0.19831527965633491,0.9311560157098269,0.7217384326457977,0.82
46,0.2675478889753944,0.9130639104466689,0.8147988128662109,0.745
47,0.2863122687528008,0.9226973684210527,0.8148306941986084,0.8
48,0.17935282423308022,0.9490131578947368,0.8369146370887757,0.795
49,0.20346411258766525,0.9375,0.5739299941062928,0.815
50,0.1519983987274923,0.9473684210526315,0.8065599465370178,0.785
51,0.17885814920852058,0.9271616559279593,0.7368736827373504,0.8
52,0.1276740700398621,0.9539473684210527,0.6050696265697479,0.835
53,0.10922895764049731,0.9703947368421053,0.6118324494361878,0.83
54,0.1685389001902781,0.9551221822437487,0.8324432945251465,0.79
55,0.18893838801274174,0.9424342105263158,0.7764822542667389,0.785
56,0.19833076274708697,0.9386748138226961,0.6731395161151886,0.78
57,0.1648738454831274,0.9436090243490118,0.6943126839399337,0.805
58,0.08429204584344437,0.96875,0.8090606963634491,0.805
59,0.1126733988057822,0.9703947368421053,0.5705488109588623,0.87
60,0.1254436046277222,0.9638157894736842,0.7334763681888581,0.84
61,0.1247549151119433,0.961231203455674,0.7980863893032074,0.825
62,0.179509368774138,0.9468984980332223,0.7649684309959411,0.815
63,0.14614776835629814,0.9473684210526315,0.761768890619278,0.775
64,0.14189204887339943,0.9530075192451477,0.7614708542823792,0.81
65,0.17523175281913658,0.9464285718767267,0.9956602334976197,0.77
66,0.18081168560801367,0.9424342105263158,0.7678033375740051,0.815
67,0.12081487476825714,0.9562969929293582,0.5877039635181427,0.84
68,0.13364338561108238,0.9703947368421053,0.8025549912452697,0.785
69,0.15604200567069806,0.954652256087253,0.8222673487663269,0.81
70,0.15488672508907161,0.9342105263157895,0.7148171448707581,0.775
71,0.14013431015375413,0.9424342105263158,0.7555517995357514,0.815
72,0.13040705338904732,0.9584116559279593,1.0344892096519471,0.77
73,0.09970922689688833,0.9703947368421053,0.6908127081394195,0.835
74,0.09457456281310633,0.9584116559279593,0.7400654280185699,0.82
75,0.12695780523905628,0.9588815789473685,0.8225498855113983,0.815
76,0.10189482844189594,0.9572368421052632,0.7769343495368958,0.795
77,0.08073312004930094,0.9715695506648013,0.7417752051353455,0.81
78,0.09568528958449238,0.975328947368421,0.6560945868492126,0.83
79,0.09283098102988381,0.9605263157894737,0.7558705091476441,0.85
80,0.1147389513881583,0.9638157894736842,0.7233484995365143,0.85
81,0.1634356369215407,0.9473684210526315,0.8710447692871094,0.775
82,0.10965456744950068,0.9654605263157895,0.776509759426117,0.81
83,0.0952014111374554,0.9682800769805908,0.7949225604534149,0.825
84,0.10846119138755296,0.9786184210526315,0.6826479947566986,0.82
85,0.10029977134208341,0.9588815789473685,0.94492511510849,0.76
86,0.11062716202516305,0.963345866454275,1.1254520916938782,0.785
87,0.1099873036146164,0.9649906032963803,0.9551054120063782,0.765
88,0.07749280794278572,0.96875,0.8767360699176788,0.82
89,0.09346785455157883,0.962171052631579,0.6906410098075867,0.83
90,0.12178926777682807,0.962171052631579,1.026324017047882,0.775
91,0.07253477134202656,0.9802631578947368,0.9220308327674865,0.795
92,0.04669562835050257,0.9901315789473685,0.8587296080589294,0.785
93,0.04322202562501556,0.9835526315789473,0.8614682412147522,0.785
94,0.05087392336051715,0.9917763157894737,0.8292282807826996,0.79
95,0.03669812883201398,0.993421052631579,0.8282701945304871,0.825
96,0.03039868073047776,0.993421052631579,0.7978644943237305,0.8
97,0.055531013168786704,0.9847274454016435,0.7703466248512268,0.85
98,0.030162684227290907,0.9967105263157895,0.7721744406223298,0.835
99,0.02694623307079861,0.9917763157894737,0.8012057173252106,0.82
100,0.031010497361421585,0.9917763157894737,0.7391274690628051,0.84
101,0.024188197983771954,0.9917763157894737,0.7726280796527862,0.845
102,0.020092590662993882,0.9950657894736842,0.754599483013153,0.82
103,0.02069854775541707,0.9929511296121698,0.810012719631195,0.805
104,0.02646754536238548,0.9917763157894737,0.7928509414196014,0.795
105,0.02787068922464785,0.9950657894736842,0.7692796158790588,0.8
106,0.029925002299837376,0.993421052631579,0.7783434152603149,0.81
107,0.024303366142129034,0.9983552631578947,0.7575949549674987,0.815
108,0.037124225183537134,0.9929511296121698,0.7701869344711304,0.795
109,0.023305459579109754,0.9967105263157895,0.7492133128643036,0.815
110,0.014751772347249482,0.9929511296121698,0.7816626811027527,0.81
111,0.020772203355782518,0.993421052631579,0.7361319923400879,0.85
112,0.023684219922870398,0.9917763157894737,0.8372385096549988,0.795
113,0.02080608649473441,0.9950657894736842,0.7107982802391052,0.835
114,0.03356309795114947,0.993421052631579,0.6950893604755402,0.82
115,0.016558957727331864,0.9950657894736842,0.8489594697952271,0.805
116,0.017032130964492496,0.9967105263157895,0.8043157184123992,0.83
117,0.020529470406472683,0.9950657894736842,0.8311670184135437,0.795
118,0.0423776797558132,0.9908364666135687,0.8322555673122406,0.805
119,0.031224510681472327,0.993421052631579,0.7360496962070465,0.84
120,0.0377941884492573,0.9854323314993005,0.7542347240447999,0.825
121,0.014638419361098817,0.9967105263157895,0.6630905377864837,0.84
122,0.01396336859876388,0.9967105263157895,0.7239233553409576,0.835
123,0.02274030356324817,0.9950657894736842,0.6980228590965271,0.835
124,0.028556190712965633,0.993421052631579,0.7457099509239197,0.835
125,0.029992890789320593,0.9950657894736842,0.7819782280921936,0.83
126,0.03983794466445321,0.9896616559279593,0.7583874583244323,0.83
127,0.012728295926200716,0.993421052631579,0.7905516946315765,0.81
128,0.022879399359226227,0.9983552631578947,0.7804455578327179,0.82
129,0.02556890607688968,0.9884868421052632,0.6978055989742279,0.82
130,0.020874509909557866,0.9917763157894737,0.7571468758583069,0.81
131,0.00925926807777662,0.9983552631578947,0.6738462448120117,0.845
132,0.019051374573456615,0.9917763157894737,0.6861486434936523,0.835
133,0.02929867669253757,0.9891917297714635,0.716381105184555,0.825
134,0.035716049765285696,0.9950657894736842,0.7986438763141632,0.81
135,0.005040134156220837,0.9962406032963803,0.7067513501644135,0.84
136,0.016448324224544,0.9967105263157895,0.7928574240207672,0.81
137,0.013753884717037803,0.993421052631579,0.850933952331543,0.805
138,0.02755718325313769,0.994595866454275,0.7790500247478485,0.835
139,0.015734886309426082,0.9950657894736842,0.7787662208080292,0.82
140,0.015567129379824587,0.9967105263157895,0.7122309517860412,0.855
141,0.01407421688475695,0.9967105263157895,0.7261507785320283,0.835
142,0.01727707919321562,0.993421052631579,0.8046818220615387,0.825
143,0.01781806173293214,0.9950657894736842,0.8295905220508576,0.805
144,0.01844090245370018,0.9917763157894737,0.7331502389907837,0.835
145,0.023595006842362255,0.9983552631578947,0.8440054535865784,0.825
146,0.016177490647686154,0.9967105263157895,0.7738192093372345,0.825
147,0.012877442775980422,0.9967105263157895,0.8060088884830475,0.825
148,0.018284403290109413,0.993421052631579,0.7797161519527436,0.825
149,0.00732916917063688,0.9967105263157895,0.7680320024490357,0.855
150,0.02160971595194975,0.9967105263157895,0.7768712830543518,0.83
151,0.014716752719036058,0.9967105263157895,0.7752976512908936,0.835
152,0.01480917828647714,0.9983552631578947,0.8207678806781769,0.84
153,0.016901607355593068,0.9950657894736842,0.6882353830337524,0.87
154,0.006524836770136301,0.9983552631578947,0.7517071962356567,0.84
155,0.015049401474626441,1.0,0.7049514865875244,0.86
156,0.021295387395902685,0.9950657894736842,0.7332068860530854,0.86
157,0.006973939394811168,0.9967105263157895,0.789263197183609,0.855
158,0.014834024061105754,1.0,0.7567500424385071,0.825
159,0.012869931978026503,0.9967105263157895,0.8521645283699035,0.815
160,0.01396555279528624,0.9983552631578947,0.8180093669891357,0.81
161,0.010456103917309329,0.9967105263157895,0.733172755241394,0.835
162,0.008202113603290758,1.0,0.8076560175418854,0.83
163,0.008968228685645093,0.9950657894736842,0.7850018727779389,0.83
164,0.013353116363041886,0.9967105263157895,0.7940565919876099,0.835
165,0.014902810517110322,0.9962406032963803,0.7965786933898926,0.835
166,0.011693130198277925,0.9983552631578947,0.7725240230560303,0.835
167,0.01764738044431923,0.9967105263157895,0.6679780757427216,0.855
168,0.010102055905582873,0.9983552631578947,0.7890158009529114,0.835
169,0.009303024136706403,0.9983552631578947,0.7229185903072357,0.855
170,0.010964274185856706,0.9950657894736842,0.7588090777397156,0.85
171,0.010775464593040707,1.0,0.734881454706192,0.85
172,0.011184312011066237,0.9967105263157895,0.7485734367370606,0.85
173,0.010969562302067826,0.9983552631578947,0.7606691002845765,0.845
174,0.009906241543878997,0.9967105263157895,0.6942216181755065,0.85
175,0.010812729597091675,1.0,0.7032732379436493,0.845
176,0.009982751388298837,0.9967105263157895,0.7200471782684326,0.835
177,0.013479363565382204,1.0,0.7124145460128785,0.845
178,0.004086738803093077,0.9983552631578947,0.7317392814159394,0.83
179,0.012805661872813576,0.9967105263157895,0.742478996515274,0.84
180,0.02955718965906846,0.9962406032963803,0.7841786336898804,0.82
181,0.013986469099396154,0.9967105263157895,0.8297450435161591,0.81
182,0.008907850194526347,1.0,0.8504779744148254,0.815
183,0.01079833135008812,1.0,0.8270249783992767,0.82
184,0.008274191083680642,0.9983552631578947,0.7440235388278961,0.835
185,0.011875093767517492,0.9917763157894737,0.8351323163509369,0.815
186,0.009235781494920192,0.9967105263157895,0.8476111412048339,0.805
187,0.00797431195448888,1.0,0.7958122396469116,0.82
188,0.005566630034560436,0.9983552631578947,0.8329342913627624,0.83
189,0.008016598741769007,0.9983552631578947,0.8439513766765594,0.83
190,0.008202071028982141,0.9967105263157895,0.8090201783180236,0.825
191,0.011395525887277663,0.9983552631578947,0.8004706132411957,0.83
192,0.010279863484595952,0.9983552631578947,0.731723929643631,0.855
193,0.009037485125621683,1.0,0.8065249252319336,0.835
194,0.011117617997929062,0.9983552631578947,0.8452272534370422,0.825
195,0.00840815298847462,0.9983552631578947,0.8235535156726838,0.825
196,0.004376149834378769,0.9983552631578947,0.8336493492126464,0.83
197,0.004541911282821705,1.0,0.8015753066539765,0.83
198,0.008100804082412077,0.9983552631578947,0.8257214522361755,0.83
199,0.0130629940601801,1.0,0.842191309928894,0.815
200,0.0050505852345132125,0.9983552631578947,0.8182180905342102,0.835
